shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_30425_0,6.128142,102.239464,1
SHP_30425_0,6.127744,102.241806,2
SHP_30425_0,6.127519,102.245078,3
SHP_30425_0,6.130411,102.251047,4
SHP_30425_0,6.132419,102.257406,5
SHP_30425_0,6.136278,102.264014,6
SHP_30425_0,6.138342,102.26495,7
SHP_30425_0,6.144125,102.266767,8
SHP_30425_0,6.145853,102.267508,9
SHP_30425_0,6.147342,102.267853,10
SHP_30425_0,6.150606,102.269283,11
SHP_30425_0,6.152633,102.269864,12
SHP_30425_0,6.154892,102.271219,13
SHP_30425_0,6.156061,102.273228,14
SHP_30425_0,6.157892,102.275156,15
SHP_30425_0,6.160272,102.276358,16
SHP_30425_0,6.162392,102.277856,17
SHP_30425_0,6.161992,102.282686,18
SHP_30425_0,6.161856,102.292967,19
SHP_30425_0,6.160203,102.301056,20
SHP_30425_0,6.159581,102.306172,21
SHP_30425_0,6.158933,102.311031,22
SHP_30425_0,6.158461,102.299594,23
SHP_30425_0,6.155353,102.297658,24
SHP_30425_0,6.156322,102.2945,25
SHP_30425_0,6.156242,102.288819,26
SHP_30425_0,6.152153,102.288219,27
SHP_30425_0,6.148681,102.291719,28
SHP_30425_0,6.147264,102.293031,29
SHP_30425_0,6.145511,102.294486,30
SHP_30425_0,6.143489,102.299228,31
SHP_30425_0,6.147989,102.301042,32
SHP_30426_0,6.128142,102.239464,1
SHP_30426_0,6.127744,102.241806,2
SHP_30426_0,6.129497,102.242908,3
SHP_30426_0,6.130628,102.24315,4
SHP_30426_0,6.134094,102.244278,5
SHP_30426_0,6.134978,102.249653,6
SHP_30426_0,6.132661,102.254011,7
SHP_30426_0,6.132419,102.257406,8
SHP_30426_0,6.136278,102.264014,9
SHP_30426_0,6.136903,102.264686,10
SHP_30426_0,6.137331,102.269378,11
SHP_30426_0,6.136958,102.271717,12
SHP_30426_0,6.136803,102.274831,13
SHP_30426_0,6.137139,102.279578,14
SHP_30426_0,6.136817,102.288617,15
SHP_30426_0,6.133519,102.294861,16
SHP_30426_0,6.131517,102.298594,17
SHP_30426_0,6.130689,102.299925,18
SHP_30426_0,6.130486,102.302133,19
SHP_30426_0,6.139456,102.307397,20
SHP_30426_0,6.143853,102.311353,21
SHP_30426_0,6.14665,102.313925,22
SHP_30426_0,6.153469,102.317831,23
SHP_30426_0,6.161928,102.322881,24
SHP_30426_0,6.164903,102.322742,25
SHP_30426_0,6.171353,102.321006,26
SHP_30426_0,6.173453,102.320967,27
SHP_30426_0,6.174097,102.323169,28
SHP_30427_0,6.128142,102.239464,1
SHP_30427_0,6.127744,102.241806,2
SHP_30427_0,6.129497,102.242908,3
SHP_30427_0,6.130628,102.24315,4
SHP_30427_0,6.134094,102.244278,5
SHP_30427_0,6.138467,102.245194,6
SHP_30427_0,6.141297,102.245653,7
SHP_30427_0,6.144017,102.251767,8
SHP_30427_0,6.144911,102.259336,9
SHP_30427_0,6.14225,102.265586,10
SHP_30427_0,6.144125,102.266767,11
SHP_30427_0,6.145853,102.267508,12
SHP_30427_0,6.147342,102.267853,13
SHP_30427_0,6.150606,102.269283,14
SHP_30427_0,6.152633,102.269864,15
SHP_30427_0,6.154892,102.271219,16
SHP_30427_0,6.156061,102.273228,17
SHP_30427_0,6.157892,102.275156,18
SHP_30427_0,6.160272,102.276358,19
SHP_30427_0,6.162392,102.277856,20
SHP_30427_0,6.170072,102.284469,21
SHP_30427_0,6.170606,102.289481,22
SHP_30427_0,6.17045,102.2929,23
SHP_30427_0,6.170122,102.294803,24
SHP_30427_0,6.169808,102.296022,25
SHP_30427_0,6.169297,102.301525,26
SHP_30427_0,6.168694,102.304425,27
SHP_30427_0,6.168211,102.309108,28
SHP_30427_0,6.171447,102.315539,29
SHP_30427_0,6.172978,102.319781,30
SHP_30427_0,6.173453,102.320967,31
SHP_30427_0,6.174097,102.323169,32
SHP_30428_0,6.128142,102.239464,1
SHP_30428_0,6.127744,102.241806,2
SHP_30428_0,6.129497,102.242908,3
SHP_30428_0,6.130628,102.24315,4
SHP_30428_0,6.133583,102.241956,5
SHP_30428_0,6.132336,102.236786,6
SHP_30428_0,6.138131,102.237658,7
SHP_30428_0,6.141547,102.235858,8
SHP_30428_0,6.144725,102.236806,9
SHP_30428_0,6.147653,102.239372,10
SHP_30428_0,6.152861,102.244592,11
SHP_30428_0,6.157728,102.245606,12
SHP_30428_0,6.160917,102.246911,13
SHP_30428_0,6.166019,102.249803,14
SHP_30428_0,6.169878,102.251228,15
SHP_30428_0,6.176833,102.254061,16
SHP_30428_0,6.18535,102.261025,17
SHP_30428_0,6.185644,102.264364,18
SHP_30428_0,6.187625,102.267692,19
SHP_30428_0,6.188419,102.268614,20
SHP_30428_0,6.190319,102.271442,21
SHP_30428_0,6.193939,102.272533,22
SHP_30428_0,6.1955,102.27335,23
SHP_30429_0,6.128142,102.239464,1
SHP_30429_0,6.126106,102.242122,2
SHP_30429_0,6.125139,102.240944,3
SHP_30429_0,6.125153,102.238242,4
SHP_30429_0,6.122772,102.238867,5
SHP_30429_0,6.121731,102.239672,6
SHP_30429_0,6.119722,102.240775,7
SHP_30429_0,6.118192,102.241778,8
SHP_30429_0,6.116503,102.2405,9
SHP_30429_0,6.116672,102.239419,10
